onset	duration	nwb_table	choice.npy	contrastLeft.npy	contrastRight.npy	feedbackType.npy	feedback_times.npy	firstMovement_times.npy	goCueTrigger_times.npy	goCue_times.npy	intervals_bpod.npy	probabilityLeft.npy	response_times.npy	rewardVolume.npy	stimOff_times.npy	stimOn_times.npy	peakAmplitude.npy
0.0324973500000265	0.7640000000000007	BehavioralEpochs															-0.4074197453295172
2.122497350000028	1.7370000000000014	BehavioralEpochs															0.3398912250104927
5.506497350000031	1.8320000000000016	BehavioralEpochs															0.8627672516075928
8.500497350000034	0.41800000000000104	BehavioralEpochs															-0.01713996608844559
9.929497350000036	0.08099999999999952	BehavioralEpochs															0.010198135090596777
12.327497350000037	0.14400000000000013	BehavioralEpochs															0.015044281361056705
16.510497350000044	0.14699999999999847	BehavioralEpochs															0.05008573264207622
16.951497350000043	0.7379999999999995	BehavioralEpochs															0.24649341136266134
23.17849735000005	0.4339999999999975	BehavioralEpochs															0.40191642669547945
23.95749735000005	5.239000000000004	BehavioralEpochs															-9.189655700488574
34.139497350000056	1.0390000000000015	BehavioralEpochs															0.2509800964326505
38.10649735000006	1.9280000000000044	BehavioralEpochs															1.0168183237208348
43.218497350000064	0.08600000000000563	BehavioralEpochs															0.027373633055787217
48.951497350000075	1.4609999999999985	BehavioralEpochs															1.1757788490735521
50.823497350000075	1.0619999999999976	BehavioralEpochs															-1.0937233925043781
83.4224973500001	0.24099999999999966	BehavioralEpochs															0.01943866564196739
94.80849735000011	0.20300000000000296	BehavioralEpochs															0.014528126114938367
107.89549735000013	3.418999999999997	BehavioralEpochs															0.7257647099542037
116.21649735000013	0.1560000000000059	BehavioralEpochs															0.01685260313311332
116.73749735000013	0.39100000000000534	BehavioralEpochs															-0.08765033365081809
127.04549735000015	0.05099999999998772	BehavioralEpochs															0.008889263431992589
139.04949735000014	1.981000000000023	BehavioralEpochs															-0.25301427257056286
156.92249735000016	1.9210000000000207	BehavioralEpochs															-0.8840404666147919
160.48249735000016	0.2990000000000066	BehavioralEpochs															0.10775492314654933
