participant_id	original_participant_id	species	sex	strain
sub-70bf8cbd+d312+4654+a4ea+3a21ea2f541b	sub-70bf8cbd-d312-4654-a4ea-3a21ea2f541b	Laboratory mouse	M	C57BL/6J
sub-92130c1b+4fdb+4acc+86e0+1853d429c41a	sub-92130c1b-4fdb-4acc-86e0-1853d429c41a	Laboratory mouse	M	C57BL/6J
sub-9bebfe0b+082e+4d66+aca7+fae29317f708	sub-9bebfe0b-082e-4d66-aca7-fae29317f708	Laboratory mouse	M	C57BL/6J
sub-c6e8125f+b6c7+4349+b74d+32e8bd606f63	sub-c6e8125f-b6c7-4349-b74d-32e8bd606f63		F	C57BL/6J
