onset	duration	nwb_table	choice.npy	contrastLeft.npy	contrastRight.npy	feedbackType.npy	feedback_times.npy	firstMovement_times.npy	goCueTrigger_times.npy	goCue_times.npy	intervals_bpod.npy	itiDuration.npy	probabilityLeft.npy	response_times.npy	rewardVolume.npy	stimOff_times.npy	stimOn_times.npy	peakAmplitude.npy
3.3831666666666695	8.275000000000007	BehavioralEpochs																7.066946306981025
13.149166666666678	2.972000000000003	BehavioralEpochs																2.610788268927564
19.2138	2.5905301467067225	trials	1.0	1.0		1.0	20.236	19.87716666666668	19.759306137626858	19.7598	2.590501	1.5684010000000002	0.5	20.235911500033755	1.5	21.304233333333332	19.8377	
19.87716666666668	1.073000000000004	BehavioralEpochs																-0.6804812066361308
21.168166666666686	3.852000000000004	BehavioralEpochs																-1.3415128277829682
22.176433333333332	9.977866219617685	trials	1.0		0.125	-1.0	29.585733333333334	25.82016666666669	25.554555075625924	25.5551	12.940402	2.569402	0.5	29.584881015640086	0.0	31.6543	25.554333333333332	
25.82016666666669	0.5749999999999993	BehavioralEpochs																0.2268790908418179
29.33216666666669	1.2660000000000018	BehavioralEpochs																-1.1611255427621163
30.974166666666694	0.5399999999999991	BehavioralEpochs																-0.22175346581894217
32.5345	2.5364313605824833	trials	1.0	0.25		1.0	33.50613333333333	33.2741666666667	33.053906012409136	33.05446666666667	15.857002	1.564902	0.5	33.50601124577488	1.5	34.57083333333333	33.05376666666667	
33.2741666666667	1.766999999999996	BehavioralEpochs																-0.6883298789549377
35.3751666666667	0.11599999999999966	BehavioralEpochs																0.01380790706492796
35.41413333333333	2.3901294606985104	trials	-1.0		1.0	1.0	36.24183333333333	36.1391666666667	36.02064055537694	36.021433333333334	18.590301	1.562501000000001	0.5	36.241743188178	1.5	37.30416666666667	36.020466666666664	
36.1391666666667	1.0940000000000012	BehavioralEpochs																0.3150278675438969
37.5701666666667	1.2370000000000019	BehavioralEpochs																0.4546749466385238
38.21346666666667	3.540831220637564	trials	1.0	0.0		1.0	40.182066666666664	39.75316666666671	39.72087953228353	39.7214	22.540301	1.572301000000003	0.5	40.181983467759146	1.5	41.25423333333333	39.720733333333335	
39.10416666666671	0.06400000000000006	BehavioralEpochs																0.022930472186164508
39.75316666666671	2.2789999999999964	BehavioralEpochs																-0.7296239149605226
42.119	3.218530786042159	trials	1.0		0.0	-1.0	42.783366666666666		42.620704643048846	42.62136666666667	26.123500999999997	2.554801000000001	0.5	42.78270614229922	0.0	44.837466666666664	42.620466666666665	
42.27416666666671	1.6820000000000022	BehavioralEpochs																-1.0560517827258682
44.39916666666671	2.389000000000003	BehavioralEpochs																-0.918603986516024
45.72083333333333	5.000032915162649	trials	-1.0		1.0	1.0	49.15083333333333		48.47065033542938		31.506802	1.5701019999999986	0.5	49.150754540508125	1.5	50.22076666666667	48.4705	
47.27316666666671	0.6390000000000029	BehavioralEpochs																-0.1314018518161939
48.60016666666671	1.4120000000000061	BehavioralEpochs																0.2954792849674819
50.35816666666671	0.8860000000000028	BehavioralEpochs																-0.15040420617571915
51.11196666666667	3.1418318647541312	trials	-1.0		0.125	1.0	52.68626666666667		51.753872768319695		35.039702	1.5676020000000008	0.5	52.68618163040275	1.5	53.75366666666667	51.75373333333334	
51.92616666666672	1.3969999999999985	BehavioralEpochs																0.38665921911508416
54.17916666666672	0.07200000000000273	BehavioralEpochs																0.01093421505602521
